#    L    TT             EE             TE          
   118    0.14020E+03    0.25752E-02   -0.24780E+00
   119    0.14150E+03    0.27130E-02   -0.25662E+00
   120    0.14279E+03    0.28532E-02   -0.26481E+00
   121    0.14407E+03    0.29953E-02   -0.27238E+00
   122    0.14535E+03    0.31393E-02   -0.27939E+00
   123    0.14663E+03    0.32853E-02   -0.28582E+00
   124    0.14789E+03    0.34327E-02   -0.29160E+00
   125    0.14915E+03    0.35809E-02   -0.29672E+00
   126    0.15041E+03    0.37298E-02   -0.30124E+00
   127    0.15166E+03    0.38799E-02   -0.30519E+00
   128    0.15291E+03    0.40317E-02   -0.30851E+00
   129    0.15415E+03    0.41843E-02   -0.31109E+00
   130    0.15540E+03    0.43369E-02   -0.31287E+00
   131    0.15666E+03    0.44895E-02   -0.31393E+00
   132    0.15793E+03    0.46428E-02   -0.31431E+00
   133    0.15920E+03    0.47974E-02   -0.31396E+00
   134    0.16048E+03    0.49525E-02   -0.31278E+00
   135    0.16178E+03    0.51075E-02   -0.31077E+00
   136    0.16311E+03    0.52628E-02   -0.30808E+00
   137    0.16446E+03    0.54199E-02   -0.30485E+00
   138    0.16583E+03    0.55804E-02   -0.30112E+00
   139    0.16722E+03    0.57447E-02   -0.29684E+00
   140    0.16863E+03    0.59130E-02   -0.29196E+00
   141    0.17005E+03    0.60858E-02   -0.28645E+00
   142    0.17148E+03    0.62636E-02   -0.28027E+00
   143    0.17291E+03    0.64463E-02   -0.27330E+00
   144    0.17434E+03    0.66327E-02   -0.26526E+00
   145    0.17576E+03    0.68218E-02   -0.25594E+00
   146    0.17719E+03    0.70135E-02   -0.24522E+00
   147    0.17863E+03    0.72097E-02   -0.23327E+00
   148    0.18009E+03    0.74136E-02   -0.22042E+00
   149    0.18155E+03    0.76274E-02   -0.20717E+00
   150    0.18303E+03    0.78526E-02   -0.19426E+00
   151    0.18452E+03    0.80897E-02   -0.18257E+00
   152    0.18601E+03    0.83411E-02   -0.17313E+00
   153    0.18748E+03    0.86115E-02   -0.16684E+00
   154    0.18891E+03    0.89087E-02   -0.16434E+00
   155    0.19027E+03    0.92415E-02   -0.16570E+00
   156    0.19155E+03    0.96174E-02   -0.17047E+00
   157    0.19274E+03    0.10040E-01   -0.17764E+00
   158    0.19384E+03    0.10507E-01   -0.18584E+00
   159    0.19485E+03    0.11010E-01   -0.19340E+00
   160    0.19581E+03    0.11536E-01   -0.19869E+00
   161    0.19674E+03    0.12068E-01   -0.20016E+00
   162    0.19764E+03    0.12588E-01   -0.19656E+00
   163    0.19857E+03    0.13084E-01   -0.18718E+00
   164    0.19952E+03    0.13547E-01   -0.17168E+00
