#    L    TT             EE             TE          
   117    0.31786E+04    0.93652E+00   -0.32919E+02
   118    0.32119E+04    0.94604E+00   -0.33485E+02
   119    0.32453E+04    0.95521E+00   -0.34043E+02
   120    0.32787E+04    0.96400E+00   -0.34591E+02
   121    0.33122E+04    0.97242E+00   -0.35129E+02
   122    0.33458E+04    0.98044E+00   -0.35656E+02
   123    0.33795E+04    0.98807E+00   -0.36173E+02
   124    0.34132E+04    0.99529E+00   -0.36678E+02
   125    0.34469E+04    0.10021E+01   -0.37172E+02
   126    0.34807E+04    0.10085E+01   -0.37653E+02
   127    0.35145E+04    0.10145E+01   -0.38122E+02
   128    0.35483E+04    0.10200E+01   -0.38578E+02
   129    0.35822E+04    0.10251E+01   -0.39020E+02
   130    0.36160E+04    0.10297E+01   -0.39447E+02
   131    0.36499E+04    0.10340E+01   -0.39860E+02
   132    0.36837E+04    0.10377E+01   -0.40257E+02
   133    0.37175E+04    0.10410E+01   -0.40639E+02
   134    0.37512E+04    0.10439E+01   -0.41005E+02
   135    0.37849E+04    0.10462E+01   -0.41353E+02
   136    0.38185E+04    0.10481E+01   -0.41684E+02
   137    0.38521E+04    0.10496E+01   -0.41997E+02
   138    0.38855E+04    0.10506E+01   -0.42292E+02
   139    0.39189E+04    0.10511E+01   -0.42568E+02
   140    0.39522E+04    0.10511E+01   -0.42825E+02
   141    0.39853E+04    0.10507E+01   -0.43062E+02
   142    0.40183E+04    0.10498E+01   -0.43279E+02
   143    0.40513E+04    0.10485E+01   -0.43477E+02
   144    0.40840E+04    0.10467E+01   -0.43652E+02
   145    0.41167E+04    0.10445E+01   -0.43808E+02
   146    0.41492E+04    0.10418E+01   -0.43941E+02
   147    0.41816E+04    0.10387E+01   -0.44053E+02
   148    0.42139E+04    0.10351E+01   -0.44144E+02
   149    0.42458E+04    0.10311E+01   -0.44210E+02
   150    0.42777E+04    0.10267E+01   -0.44255E+02
   151    0.43092E+04    0.10219E+01   -0.44275E+02
   152    0.43405E+04    0.10167E+01   -0.44273E+02
   153    0.43714E+04    0.10110E+01   -0.44244E+02
   154    0.44022E+04    0.10051E+01   -0.44193E+02
   155    0.44325E+04    0.99869E+00   -0.44116E+02
   156    0.44627E+04    0.99200E+00   -0.44015E+02
   157    0.44926E+04    0.98493E+00   -0.43889E+02
   158    0.45223E+04    0.97756E+00   -0.43738E+02
   159    0.45517E+04    0.96984E+00   -0.43562E+02
   160    0.45810E+04    0.96182E+00   -0.43361E+02
   161    0.46101E+04    0.95352E+00   -0.43137E+02
   162    0.46389E+04    0.94490E+00   -0.42885E+02
   163    0.46676E+04    0.93604E+00   -0.42611E+02
   164    0.46960E+04    0.92690E+00   -0.42310E+02
   165    0.47243E+04    0.91755E+00   -0.41984E+02
   166    0.47521E+04    0.90796E+00   -0.41631E+02
   167    0.47798E+04    0.89820E+00   -0.41255E+02
   168    0.48070E+04    0.88825E+00   -0.40850E+02
   169    0.48340E+04    0.87817E+00   -0.40420E+02
   170    0.48605E+04    0.86794E+00   -0.39963E+02
   171    0.48867E+04    0.85764E+00   -0.39480E+02
   172    0.49125E+04    0.84723E+00   -0.38970E+02
   173    0.49379E+04    0.83679E+00   -0.38434E+02
   174    0.49630E+04    0.82633E+00   -0.37872E+02
   175    0.49875E+04    0.81583E+00   -0.37282E+02
   176    0.50118E+04    0.80538E+00   -0.36666E+02
   177    0.50354E+04    0.79495E+00   -0.36022E+02
   178    0.50589E+04    0.78461E+00   -0.35354E+02
   179    0.50817E+04    0.77434E+00   -0.34658E+02
   180    0.51043E+04    0.76422E+00   -0.33936E+02
   181    0.51263E+04    0.75423E+00   -0.33188E+02
   182    0.51480E+04    0.74444E+00   -0.32414E+02
   183    0.51691E+04    0.73484E+00   -0.31613E+02
   184    0.51899E+04    0.72550E+00   -0.30788E+02
   185    0.52101E+04    0.71641E+00   -0.29936E+02
   186    0.52299E+04    0.70764E+00   -0.29060E+02
   187    0.52493E+04    0.69920E+00   -0.28159E+02
   188    0.52680E+04    0.69110E+00   -0.27230E+02
   189    0.52864E+04    0.68342E+00   -0.26279E+02
   190    0.53042E+04    0.67614E+00   -0.25301E+02
   191    0.53216E+04    0.66935E+00   -0.24301E+02
   192    0.53384E+04    0.66302E+00   -0.23275E+02
   193    0.53549E+04    0.65724E+00   -0.22227E+02
   194    0.53707E+04    0.65199E+00   -0.21154E+02
   195    0.53861E+04    0.64736E+00   -0.20059E+02
   196    0.54009E+04    0.64333E+00   -0.18940E+02
   197    0.54154E+04    0.63998E+00   -0.17799E+02
   198    0.54292E+04    0.63731E+00   -0.16635E+02
   199    0.54426E+04    0.63538E+00   -0.15451E+02
   200    0.54553E+04    0.63420E+00   -0.14244E+02
   201    0.54677E+04    0.63383E+00   -0.13016E+02
   202    0.54795E+04    0.63429E+00   -0.11768E+02
   203    0.54905E+04    0.63561E+00   -0.10498E+02
   204    0.55011E+04    0.63784E+00   -0.92096E+01
   205    0.55110E+04    0.64101E+00   -0.79001E+01
   206    0.55204E+04    0.64515E+00   -0.65724E+01
   207    0.55290E+04    0.65030E+00   -0.52249E+01
   208    0.55371E+04    0.65650E+00   -0.38598E+01
   209    0.55444E+04    0.66377E+00   -0.24762E+01
   210    0.55513E+04    0.67217E+00   -0.10758E+01
   211    0.55574E+04    0.68171E+00    0.34197E+00
   212    0.55630E+04    0.69244E+00    0.17756E+01
   213    0.55678E+04    0.70438E+00    0.32254E+01
   214    0.55721E+04    0.71758E+00    0.46901E+01
   215    0.55757E+04    0.73206E+00    0.61697E+01
   216    0.55789E+04    0.74787E+00    0.76632E+01
   217    0.55814E+04    0.76503E+00    0.91700E+01
   218    0.55832E+04    0.78358E+00    0.10690E+02
   219    0.55845E+04    0.80355E+00    0.12222E+02
   220    0.55851E+04    0.82497E+00    0.13767E+02
   221    0.55852E+04    0.84788E+00    0.15322E+02
   222    0.55846E+04    0.87231E+00    0.16887E+02
   223    0.55835E+04    0.89828E+00    0.18463E+02
   224    0.55817E+04    0.92584E+00    0.20048E+02
   225    0.55794E+04    0.95501E+00    0.21641E+02
   226    0.55764E+04    0.98581E+00    0.23243E+02
   227    0.55729E+04    0.10183E+01    0.24852E+02
   228    0.55686E+04    0.10525E+01    0.26467E+02
   229    0.55639E+04    0.10884E+01    0.28089E+02
   230    0.55585E+04    0.11260E+01    0.29716E+02
   231    0.55525E+04    0.11655E+01    0.31348E+02
   232    0.55460E+04    0.12067E+01    0.32984E+02
   233    0.55387E+04    0.12498E+01    0.34622E+02
   234    0.55310E+04    0.12947E+01    0.36264E+02
   235    0.55224E+04    0.13416E+01    0.37907E+02
   236    0.55135E+04    0.13903E+01    0.39552E+02
   237    0.55038E+04    0.14410E+01    0.41197E+02
   238    0.54936E+04    0.14936E+01    0.42842E+02
   239    0.54827E+04    0.15482E+01    0.44485E+02
   240    0.54713E+04    0.16047E+01    0.46128E+02
   241    0.54592E+04    0.16633E+01    0.47768E+02
   242    0.54466E+04    0.17240E+01    0.49405E+02
