#    L    TT             EE             TE          
   117    0.82414E+03    0.16511E+00   -0.59556E+01
   118    0.83649E+03    0.16820E+00   -0.60963E+01
   119    0.84895E+03    0.17126E+00   -0.62368E+01
   120    0.86149E+03    0.17428E+00   -0.63768E+01
   121    0.87413E+03    0.17727E+00   -0.65162E+01
   122    0.88686E+03    0.18021E+00   -0.66549E+01
   123    0.89968E+03    0.18312E+00   -0.67928E+01
   124    0.91259E+03    0.18598E+00   -0.69298E+01
   125    0.92559E+03    0.18879E+00   -0.70658E+01
   126    0.93868E+03    0.19155E+00   -0.72006E+01
   127    0.95185E+03    0.19426E+00   -0.73342E+01
   128    0.96511E+03    0.19691E+00   -0.74662E+01
   129    0.97844E+03    0.19950E+00   -0.75966E+01
   130    0.99185E+03    0.20203E+00   -0.77252E+01
   131    0.10053E+04    0.20450E+00   -0.78519E+01
   132    0.10189E+04    0.20691E+00   -0.79764E+01
   133    0.10326E+04    0.20925E+00   -0.80989E+01
   134    0.10463E+04    0.21151E+00   -0.82188E+01
   135    0.10601E+04    0.21371E+00   -0.83361E+01
   136    0.10739E+04    0.21583E+00   -0.84506E+01
   137    0.10878E+04    0.21788E+00   -0.85622E+01
   138    0.11018E+04    0.21985E+00   -0.86707E+01
   139    0.11159E+04    0.22174E+00   -0.87759E+01
   140    0.11299E+04    0.22355E+00   -0.88778E+01
   141    0.11441E+04    0.22529E+00   -0.89760E+01
   142    0.11583E+04    0.22694E+00   -0.90705E+01
   143    0.11725E+04    0.22851E+00   -0.91612E+01
   144    0.11868E+04    0.22999E+00   -0.92476E+01
   145    0.12012E+04    0.23140E+00   -0.93301E+01
   146    0.12156E+04    0.23271E+00   -0.94080E+01
   147    0.12301E+04    0.23395E+00   -0.94816E+01
   148    0.12445E+04    0.23511E+00   -0.95507E+01
   149    0.12590E+04    0.23617E+00   -0.96144E+01
   150    0.12736E+04    0.23715E+00   -0.96737E+01
   151    0.12881E+04    0.23805E+00   -0.97272E+01
   152    0.13027E+04    0.23888E+00   -0.97758E+01
   153    0.13173E+04    0.23961E+00   -0.98185E+01
   154    0.13319E+04    0.24028E+00   -0.98558E+01
   155    0.13465E+04    0.24086E+00   -0.98869E+01
   156    0.13611E+04    0.24138E+00   -0.99124E+01
   157    0.13757E+04    0.24182E+00   -0.99315E+01
   158    0.13904E+04    0.24219E+00   -0.99447E+01
   159    0.14050E+04    0.24248E+00   -0.99514E+01
   160    0.14197E+04    0.24271E+00   -0.99519E+01
   161    0.14344E+04    0.24288E+00   -0.99462E+01
   162    0.14491E+04    0.24298E+00   -0.99334E+01
   163    0.14639E+04    0.24302E+00   -0.99145E+01
   164    0.14786E+04    0.24300E+00   -0.98882E+01
   165    0.14934E+04    0.24294E+00   -0.98554E+01
   166    0.15081E+04    0.24282E+00   -0.98151E+01
   167    0.15228E+04    0.24267E+00   -0.97679E+01
   168    0.15375E+04    0.24247E+00   -0.97128E+01
   169    0.15522E+04    0.24224E+00   -0.96506E+01
   170    0.15669E+04    0.24198E+00   -0.95804E+01
   171    0.15815E+04    0.24171E+00   -0.95027E+01
   172    0.15961E+04    0.24141E+00   -0.94168E+01
   173    0.16106E+04    0.24112E+00   -0.93232E+01
   174    0.16251E+04    0.24082E+00   -0.92215E+01
   175    0.16396E+04    0.24052E+00   -0.91111E+01
   176    0.16540E+04    0.24023E+00   -0.89929E+01
   177    0.16683E+04    0.23996E+00   -0.88658E+01
   178    0.16826E+04    0.23972E+00   -0.87307E+01
   179    0.16968E+04    0.23951E+00   -0.85867E+01
   180    0.17110E+04    0.23934E+00   -0.84344E+01
   181    0.17251E+04    0.23922E+00   -0.82730E+01
   182    0.17391E+04    0.23917E+00   -0.81033E+01
   183    0.17531E+04    0.23917E+00   -0.79245E+01
   184    0.17670E+04    0.23926E+00   -0.77371E+01
   185    0.17808E+04    0.23943E+00   -0.75404E+01
   186    0.17945E+04    0.23970E+00   -0.73351E+01
   187    0.18082E+04    0.24007E+00   -0.71209E+01
   188    0.18217E+04    0.24056E+00   -0.68971E+01
   189    0.18352E+04    0.24118E+00   -0.66647E+01
   190    0.18485E+04    0.24193E+00   -0.64227E+01
   191    0.18618E+04    0.24284E+00   -0.61721E+01
   192    0.18749E+04    0.24390E+00   -0.59119E+01
   193    0.18880E+04    0.24514E+00   -0.56429E+01
   194    0.19009E+04    0.24656E+00   -0.53645E+01
   195    0.19137E+04    0.24818E+00   -0.50772E+01
   196    0.19264E+04    0.25000E+00   -0.47805E+01
   197    0.19391E+04    0.25205E+00   -0.44749E+01
   198    0.19515E+04    0.25433E+00   -0.41600E+01
   199    0.19639E+04    0.25686E+00   -0.38362E+01
   200    0.19761E+04    0.25964E+00   -0.35031E+01
   201    0.19882E+04    0.26271E+00   -0.31611E+01
   202    0.20002E+04    0.26606E+00   -0.28102E+01
   203    0.20120E+04    0.26970E+00   -0.24499E+01
   204    0.20237E+04    0.27367E+00   -0.20809E+01
   205    0.20351E+04    0.27797E+00   -0.17028E+01
   206    0.20465E+04    0.28261E+00   -0.13161E+01
   207    0.20576E+04    0.28761E+00   -0.92029E+00
   208    0.20686E+04    0.29298E+00   -0.51599E+00
   209    0.20794E+04    0.29875E+00   -0.10285E+00
   210    0.20900E+04    0.30492E+00    0.31870E+00
   211    0.21004E+04    0.31150E+00    0.74884E+00
   212    0.21107E+04    0.31853E+00    0.11872E+01
   213    0.21208E+04    0.32600E+00    0.16339E+01
   214    0.21306E+04    0.33394E+00    0.20887E+01
   215    0.21403E+04    0.34236E+00    0.25516E+01
   216    0.21498E+04    0.35127E+00    0.30223E+01
   217    0.21592E+04    0.36071E+00    0.35007E+01
   218    0.21683E+04    0.37067E+00    0.39869E+01
   219    0.21772E+04    0.38117E+00    0.44804E+01
   220    0.21859E+04    0.39224E+00    0.49814E+01
   221    0.21945E+04    0.40388E+00    0.54895E+01
   222    0.22028E+04    0.41612E+00    0.60047E+01
   223    0.22109E+04    0.42897E+00    0.65267E+01
   224    0.22188E+04    0.44244E+00    0.70555E+01
   225    0.22266E+04    0.45656E+00    0.75908E+01
   226    0.22340E+04    0.47133E+00    0.81323E+01
   227    0.22413E+04    0.48678E+00    0.86802E+01
   228    0.22484E+04    0.50292E+00    0.92339E+01
   229    0.22553E+04    0.51976E+00    0.97935E+01
   230    0.22619E+04    0.53733E+00    0.10359E+02
   231    0.22683E+04    0.55563E+00    0.10929E+02
